"category","title","author","postTime","chgTime","contents"
"과학","'2019 바이오 페스티벌' 9월 3∼4일 청주 오송에서 열려","연합뉴스네이버","2019.07.30. 오후 3:21","2019.07.30. 오후 3:21","// flash 오류를 우회하기 위한 함수 추가function _flash_removeCallback() {}(청주=연합뉴스) 심규석 기자 = '2019 바이오 페스티벌'이 오는 9월 3∼4일과 10월 26일 청주 오송 C&V센터에서 열린다.[연합뉴스 자료사진]    충북도와 오송첨단의료산업진흥재단이 공동 주최하는 이 페스티벌에서는 '바이오의약 : 발견에서 개발로'라는 주제로 '바이오 엑셀런스 & 바이오 심포지엄'이 열린다.    바이오 관련 예비 창업자나 관계기관 근무자들을 대상으로 한 '취·창업 콘서트'도 예정돼 있다.    충북산학융합본부가 주관하는 '바이오&제약 취업 콘서트'에서는 제약업무설명회와 1대 1 상담 등이 이어진다.    바이오 페스티벌 참가 희망자는 다음 달 1일부터 오송바이오진흥재단 홈페이지(http://www.osong-bio.kr)에서 프로그램별로 사전 등록할 수 있다.    10월 26일에는 같은 장소에서 초·중·고등학생 160팀(320여명)이 참가하는 국제바이오·의과학실험경연대회가 열린다.    ks@yna.co.kr▶확 달라진 연합뉴스 웹을 만나보세요▶네이버 [연합뉴스] 채널 구독   ▶뭐 하고 놀까? #흥"
"과학","과학기술 한계 극복의 길을 여는 양자컴퓨터","파이낸셜뉴스네이버","2019.07.30. 오후 3:07","2019.07.30. 오후 3:07","// flash 오류를 우회하기 위한 함수 추가function _flash_removeCallback() {}KISTI,양자컴퓨터R&D현황과정책리포트발간 한국과학기술정보연구원(KISTI)은 양자컴퓨터 연구개발에 대한 국가차원의 대응이 필요하다는 인식에 따라 양자컴퓨터의 개념과 국내외 최신의 정책 및 기술동향을 소개하고 향후 발전 방향을 제시한 'KISTI 이슈브리프'를 발간했다.  오늘날 경제사회 구조가 복잡해지고 과학기술이 발전함에 따라 해결이 매우 어려운 문제들이 발생하고 있고, 기존의 디지털 컴퓨터의 한계로 인해 풀 수 없는 문제의 등장으로 새로운 해결의 돌파구가 필요한 상황이 도래했다.  1982년 미국 이론물리학자 리처드 파인만 교수는 양자 세계의 이해를 위해 양자원리로 구동되는 양자컴퓨터 개념을 제안하게 됐다.  파인만 교수의 개념은 1985년 영국 물리학자 데이비드 도이치 교수의 양자 알고리즘으로 구동 가능성이 검증되었고 1994년 미국 벨연구소 피터 쇼의 양자컴퓨터 기반의 암호해독 알고리즘으로 폭발적인 관심을 불러일으켰다.  양자컴퓨터는 기존 디지털 컴퓨터보다 매우 빠르게 계산을 수행하기 때문에 계산의 제약으로 인해 풀 수 없었던 문제에 대한 해결 대안으로 급부상하게 되었다.  아울러 양자컴퓨터는 기존의 디지털 컴퓨터를 뛰어넘는 성능을 보일 것으로 기대하고 있으며 현대 사회의 다양한 난제들에 대한 충분한 이해와 해결이 가능할 것으로 전망된다. 양자컴퓨터는, 특정 문제에 대하여, 오늘날뿐만 아니라 미래의 슈퍼컴퓨터들 중 가장 성능이 뛰어난 것조차도 능가할 것으로 기대되고 있다.  또 양자컴퓨터는 기존 컴퓨터 대비 월등한 연산속도를 기반으로 기존 과학기술 분야 및 산업 등에 커다란 영향을 미칠 것으로 전문가들은 진단하고 있다..  과학기술 난제 해결, 신산업 응용, 양자 인공지능 등 양자컴퓨터 기술을 인공지능 알고리즘에 적용하는 등 응용연구 분야가 활발하다.  세계 주요 선진국은 양자컴퓨터의 엄청난 기능과 영향력을 의식하여, 해당 분야 주도권을 확보하고자 막대한 연구개발 예산을 투자하고 국가적 차원의 양자컴퓨팅 연구개발 육성 정책을 수립 추진하고 있다.   seokjang@fnnews.com 조석장 기자   ▶ 헉! 소리나는 스!토리 뉴스 [헉스]▶ 클릭해, 뉴스 들어간다 [뉴스쿨] ▶ 세상에 이런일이 [fn파스]  ※ 저작권자 ⓒ 파이낸셜뉴스. 무단 전재-재배포 금지"
"과학","울산과기원, 극소량 에너지로 수소 만드는 고효율 촉매 개발","연합뉴스네이버","2019.07.30. 오후 3:03","2019.07.30. 오후 3:03","// flash 오류를 우회하기 위한 함수 추가function _flash_removeCallback() {}김광수 교수팀, 백금보다 성능·안전성 우수한 촉매 합성 탁월한 성능과 안정성을 지닌 물 분해 전극 촉매 물질을 개발한 김광수 울산과학기술원(UNIST) 특훈교수(오른쪽에서 네 번째)와 연구원들. [울산과학기술원 제공. 재판매 및 DB 금지]    (울산=연합뉴스) 허광무 기자 = 울산과학기술원(UNIST) 연구진이 미래 청정 에너지원으로 주목받는 수소를 극소량 에너지만으로 만들 수 있는 고효율 촉매를 개발했다.    김광수 자연과학부 화학과 특훈교수팀은 상업적으로 쓰이는 백금 촉매보다 탁월한 물 분해 전극 촉매 물질을 개발하는데 성공했다고 30일 밝혔다.    현재 백금 기반 촉매는 물을 전기로 분해해 수소를 생산할 때 가장 효율적인 촉매다.     다만 백금이 고가인 데다 희귀한 물질이어서, 이를 대체할 수 있는 물질 개발이 꾸준히 진행됐다.    그러나 지금까지 보고된 촉매 효율은 백금과 비슷한 수준인 데다, 산성이나 염기성 매질 중 한쪽에서 성능이 저하되거나 내구성이 낮은 문제가 있었다.    김 교수팀은 수소 발생 반응을 활성화하는 능력이 탁월하면서도, 산성과 염기성 용액 양쪽에서 내구성이 높은 루테늄(Ru) 기반 촉매 구조를 개발했다.    이는 질소를 도핑(결정의 물성을 변화시키고자 소량의 불순물을 첨가하는 공정)한 그래핀 결함 자리에 '루테늄 단일원자'와 '질화(질소가 새로운 원소와 결합해 화합물을 생성하는 과정)된 루테늄 나노입자'들이 혼성된 새로운 촉매다.    새로 개발된 촉매는 산·염기성 매질에서 상업용 백금 촉매를 포함해 지금까지 알려진 전극 촉매 중에서 가장 낮은 7㎷의 과전압(전해 과정에서 이론적으로 주어지는 분해전압과 실제로 전극 간에 주어지는 전압의 차이)을 기록했다.    과전압이 낮을수록 수소 생성에 드는 에너지 소비가 적은 효율적인 촉매가 된다.    또 이 촉매는 효율을 나타내는 지표 중 하나인 패러데이 효율(반응을 일으키는 데 사용되는 전류를 100으로 두고, 원하는 반응에 사용된 전류가 그중 얼마인지 측정한 것)이 100%에 가까웠다.    김 교수는 ""새로 개발한 촉매는 산성과 염기성 용액에서 백금 촉매를 능가하는 성능과 안정성을 보였다""면서 ""액체 추진 로켓이나 선박 등 다양한 환경에서 수소 발생 반응을 촉진하는 촉매로 사용할 수 있을 것""이라고 밝혔다.    이번 연구는 에너지 분야 국제학술지 어드밴스드 에너지 머티리얼즈(Advanced Energy Materials) 7월호 표지 논문으로 게재됐다.    hkm@yna.co.kr▶확 달라진 연합뉴스 웹을 만나보세요▶네이버 [연합뉴스] 채널 구독   ▶뭐 하고 놀까? #흥"
"과학","[아하! 우주] 지구에서 73광년…슈퍼지구와 미니 해왕성 발견","서울신문네이버","2019.07.30. 오후 2:56","2019.07.30. 오후 2:56","// flash 오류를 우회하기 위한 함수 추가function _flash_removeCallback() {}[서울신문 나우뉴스]지구에서 73광년…슈퍼지구와 미니 해왕성 발견(사진=NASA)지구에서 약 73광년 떨어진 항성 주위에서 외계행성 세 개가 발견됐다. 이들 행성은 먼지와 가스가 뭉쳐 행성을 형성하는 모형에서 ‘잃어버린 고리’일 수 있어 학계의 관심이 집중되고 있다.미국 매사추세츠공대(MIT) 등 국제 연구진이 미 항공우주국(NASA) 우주망원경 ‘테스’(TESS)를 사용해 적색왜성(M형 주계열성) ‘TOI-270’ 주위에서 슈퍼지구 1개와 미니 해왕성 2개를 발견했다고 세계적 학술지 네이처 자매지 ‘네이처 아스트로노미’(Nature Astronomy) 최신호(29일자)에 발표했다.지난 3월 화가자리에 있는 이 항성에서 가장 가까운 약 450만㎞(약 0.03AU) 떨어진 곳에서 발견된 슈퍼지구 ‘b 행성’(TOI-270 b)은 지름이 지구보다 약 1.2배 더 크다. 슈퍼지구는 지구보다 크지만 그 지름이 지구의 1.75배 이하이고 질량은 2~10배 정도인 암석형 행성을 말한다.이 행성의 공전 주기는 3.4일로 항성과 바짝 붙어있어, 지구형 행성이지만 평균 온도가 약 254°C에 달해 생명체가 도저히 살 수 없는 곳으로 추정된다.또 이 항성에서 750만㎞(약 0.05AU) 떨어진 첫 번째 미니 해왕성 ‘c 행성’(TOI-270 c)의 지름은 지구의 약 2.4배로 세 행성 중 가장 크다. 미니 해왕성은 지구 지름의 2~3.5배 사이의 행성으로 표면에 수소와 헬륨으로 된 기체를 지닌 가스형 행성이다. 이들은 해왕성이나 천왕성 같은 행성이지만, 기체가 적은 형태의 행성으로 추정된다. 공전 주기는 약 5.7일, 평균 온도는 약 150°C에 달한다.두 번째 미니 해왕성 ‘d 행성’(TOI-270 d)은 모성에서 약 1100만㎞(약 0.07AU) 거리에 있으며 그 지름은 지구의 약 2.1배다. 공전 주기는 약 11.4일이며 평균 온도는 약 66°C다.이에 대해 연구를 이끈 MIT 천체물리학자 막시밀리안 귄터 박사는 “항성 TOI-270은 곧 지구형 행성과 가스가 좀더 우세한 미니 해왕성 사이의 잃어버린 고리를 연구할 수 있게 해줄 것”이라면서 “왜냐하면 이 항성계에서는 이 모든 형태의 행성들이 같은 시스템(항성계)에서 형성됐기 때문”이라고 설명했다.이는 태양계에 이들 행성처럼 지구와 해왕성 크기 사이에 속하는 행성이 없어 행성 행성의 비밀을 밝히는 데 도움이 된다는 얘기다.따라서 연구진은 슈퍼지구와 두 미니 해왕성의 형성 경로가 같은지 아니면 다른지를 확인할 수 있기를 기대한다.이런 세 행성이 발견된 항성 TOI-270의 이름은 지난해 4월 발사된 뒤 관측 임무를 수행하고 있는 TESS가 발견한 천체들 가운데 행성을 거느릴 가능성이 높은 관심 천체(OI·Object of Interest) 중 270번째(270)라는 뜻에서 이런 약칭이 붙었다.또한 연구진은 이 항성계 안에 더 많은 행성들이 숨겨져 있을 가능성이 높다고 추정한다. 그중 일부 행성은 생명체 거주 가능 공간에 있을지도 모른다.귄터 박사는 “TOI-270은 외계행성 과학을 위한 진정한 디즈니랜드이자 TESS가 발견한 가장 중요한 항성계 중 하나”라면서 “이는 하나가 아닌 여러 이유로 뛰어난 실험실로 정말 사람들이 좋아할 요소를 다 갖췄다”고 말했다.연구진은 앞으로 TESS보다 적외선 분해능이 뛰어난 차세대 제임스 웹 우주망원경(JWST)이 배치되면 TOI-270에 관한 더 자세한 관측 연구에 집중할 계획이다.TESS(사진=NASA)한편 TESS는 ‘천체면통과 외계행성 탐색 위성’(Transiting Exoplanet Survey Satellite)의 약자로 지난해 11월 퇴역한 케플러 우주망원경의 후임으로 그해 4월 발사됐다. TESS는 2년 동안 슈퍼지구를 포함해 1500개의 외계행성 후보 물질을 분류하는 임무를 수행한다.윤태희 기자 th20022@seoul.co.kr★ [나우뉴스에서 '일본 통신원'을 모집합니다] ▶ [네이버에서 서울신문 구독] [우주 소식 네이버 밴드로 보세요!]ⓒ 서울신문(www.seoul.co.kr), 무단전재 및 재배포금지"
"과학","GC녹십자, 2분기 영업이익 196억원…전년 동기 대비 47.5%↑","조선비즈네이버","2019.07.30. 오후 2:51","2019.07.30. 오후 2:51","// flash 오류를 우회하기 위한 함수 추가function _flash_removeCallback() {}GC녹십자는 지난 2분기 연결 기준으로 매출 3596억원, 영업이익 196억원의 실적을 기록했다고 30일 밝혔다.  전년 동기 대비 매출과 영업이익이 각각 5.2%와 47.5% 늘었다. 다만 같은 기간 당기순이익은 적자로 전환한 150억원 손실을 기록했다.  당기순손실이 적자 전환했다. GC녹십자 측은 ""영업 외 항목에 금융 자산 평가손실, 연결 계열사의 과징금 등 일회성 손실이 반영된 영향""이라고 설명했다. GC녹십자의 별도 기준 매출 성장률은 4.1%를 기록했다. 해외 매출의 경우 전년 대비 15.7% 증가했다. 백신 부문은 독감백신의 남반구 수출 호조로 매출 규모가 6.5% 증가했고, 혈액제제 부문은 알부민의 중국 수출이 확대됨에 따라 31.1%의 높은 성장세를 나타냈다.   연결 대상 계열사도 외형 성장을 이어갔다. GC녹십자엠에스는 지난 2분기 매출이 전년 동기 대비 6.6% 오른 249억원을 기록했다. GC녹십자랩셀은 매출 성장세를 지속했다. 2분기 매출은 검체검진서비스 분야의 지속적인 성장로 인해 전년 동기 대비 13.4% 증가한 150억원을 기록했다. 같은 기간 연구개발 비용은 전년 동기 대비 83.2% 증가하면서 수익성은 다소 둔화됐다. GC녹십자 관계자는 ""하반기에도 사업 성장을 위한 투자와 경영 효율화를 지속해갈 것""이라고 말했다.경기도 용인 기흥에 위치한 녹십자 본사. /조선DB[장윤서 기자 panda@chosunbiz.com]chosunbiz.com"
"과학","극소량 전기로 수소 생산하는 ‘루테늄’ 촉매 개발…“백금보다 효율 우수”","조선비즈네이버","2019.07.30. 오후 2:51","2019.07.30. 오후 2:51","// flash 오류를 우회하기 위한 함수 추가function _flash_removeCallback() {}국내 연구진이 이론상 필요한 최소한의 전기 에너지만으로 물을 분해해 수소를 생산하는 새로운 촉매를 개발했다. 이 촉매는 현재 수소 생산에 사용하는 백금 기반 촉매보다 효율이 높고 내구성이 높아 산업적 활용도가 높다.30일 울산과학기술원에 따르면 김광수 자연과학부 화학과 특훈교수가 이끄는 국내 연구팀은 최근 슈퍼컴퓨터를 활용해 백금 촉매보다 뛰어난 물 분해 전극 촉매물질을 만드는데 성공했다.원형의 탄소구(Fullerene)에 갇힌 질화(nitridation)된 루테륨(RuNx)과 질소가 도핑된 그래핀에 위치한 루테륨 단원자로 이루어진 촉매 모식도. /울산과학기술원 제공이번에 개발된 촉매의 가장 큰 특징은 이론상 필요한 촉매 활성도에 가장 근접한 값을 구현했다는 점이다. 슈퍼컴퓨터의 이론적 계산 결과 ‘루테늄(Ru)’ 원자 1개는 평면상에서 ‘질소(N)’ 원자 2개와 ‘탄소(C)’ 원자 2개를 이웃으로 둘 때(Ru-N₂C₂) 촉매 활성도가 높아진다.연구팀은 이러한 점을 활용해 질소를 첨가한 그래핀에 ‘루테늄(Ru)’ 단일원자와 질화된 루테늄 나노입자들이 혼성된 새로운 촉매를 만들었다. 또 공 모양의 탄소구조체가 루테늄 기반 촉매를 감싼 형태로 안정성도 더했다.실제 과전압 실험 결과, 이 루테늄 기반 촉매는 기존 백금 촉매보다 효율이 높았다. 과전압은 전기로 물을 분해하는 과정에서 이론적으로 주어지는 분해전압과 실제 전극간 주어지는 전압간의 차이다. 이 과전압이 작을수록 이론값에 근접하다.루테늄 기반 촉매는 산·염기성 매질에서 상업용 백금 촉매(Pt/C)를 포함한 알려진 전극 촉매 중 가장 낮은 7 ㎷의 과전압을 기록했다. 이는 루테늄이 수소 흡-탈착 시 필요한 에너지가 ‘0’에 가깝고 전기 전도가 빠르게 일어나도록 구조를 설계했기 때문이다.또 촉매 효율을 나타내는 지표 중 하나인 ‘패러데이 효율’이 100%에 가까워 최소한의 전기 에너지로 수소 생산이 가능한 것으로 나타났다. 루테늄 기반 촉매는 산(0.1M-HClO4)성 매질에서 1.50V, 염기(1M-KOH)성 매질에서 1.40 V 전압으로 수소를 생산했다. 산업용으로 쓸 수 있는 수치다.이에 따라 루테늄 기반 촉매는 상업적으로 사용되는 비싼 백금 기반의 촉매를 대신해 실제 수소 연료 생산에 사용될 수 있을 것으로 보인다. 산도에 영향을 덜 받는 만큼 액체 추진 로켓, 자동차, 보트 및 항공기의 어플리케이션, 휴대형 또는 고정식 연료 전지 등 다양한 분야에 응용이 가능하다.김광수 교수는 ""새로 개발된 촉매는 산성과 염기성 용역에서 백금 촉매를 능가하는 우수한 성능과 안정성을 보였다""며 ""액체 추진 로켓이나 선박 등 다양한 환경에서 수소발생반응을 촉진하는 촉매로 사용 가능할 것"" 이라고 밝혔다.한편 이 연구는 에너지 분야의 권위 있는 학술지인 ‘어드밴스드 에너지 머티리얼스(Advanced Energy Materials)’의 7월호 표지로 실렸다.[김태환 기자 topen@chosunbiz.com]chosunbiz.com"
"과학","무늬만 소재부품 사업 솎아낸다...과기혁신본부, 전문가 사전 검토 실시","전자신문네이버","2019.07.30. 오후 2:48","2019.07.30. 오후 3:03","// flash 오류를 우회하기 위한 함수 추가function _flash_removeCallback() {}정부가 국가과학기술자문회의 내년 국가 연구개발(R&D) 신규 사업 심의에 앞서 소재부품 R&D에 대한 사전 자문·검토 절차를 갖는다. 과기자문회의 심의와 별도로 타당성 여부를 검토하는 것은 이례적이다. 일본의 대 한국 수출 규제에 대응하기 위해 소재부품 R&D 예산을 대폭 늘리되 개연성이 떨어지는 사업을 솎아내 효율성을 높이기 위해서다30일 관가에 따르면 과학기술정보통신부 과기혁신본부는 내년 국가 R&D 예산에 반영할 소재부품 신규 사업에 대한 자문, 검토 전문가단을 최근 구성했다.과기혁신본부는 기획재정부로부터 신규 R&D 사업 수요를 넘겨받는 대로 다음 달 안에 전문가 검증을 실시할 예정이다. 과기자문회의 전문위원 심의 절차가 있지만 이에 앞서 사업 반영 여부, 예산 규모 적정성 등을 먼저 들여다본다. 통상 R&D 사업은 과기자문회의 전문위원심의만 받았다.과기혁신본부가 소재부품 신규 R&D 사업 심의를 강화하는 것은 내년 예산에 새로운 연구과제가 대거 추가될 가능성이 높기 때문이다.최근 일본 수출 규제 조치로 소재부품 자립 필요성이 높아짐에 따라 기재부는 신규 R&D 사업 편성에서 소재부품 사업에 우선순위를 뒀다. 기존 소재부품 사업 예산을 늘리면서 부처별 신규 사업 수요를 최대한 예산에 반영하기로 했다.우리 소재부품 기술력 강화를 위해 시급한 R&D 사업이 대거 반영되지만 이른바 '무늬만 소재부품' 사업도 포함될 수 있다는 우려가 따른다.과기혁신본부는 시의성에 중점을 두고 소재부품 R&D 사업 투자를 늘리되 필요성이 낮은 사업은 철저하게 검토해 걸러낼 방침이다. 8월 중 정부 예산안이 국회로 넘어가야 하기 때문에 단기간 최대한 전문성을 발휘하기 위해 심의 절차를 강화한 측면도 있다.과기혁신본부 관계자는 “한정된 재원을 최대한 효과적으로 배분하기 위해선 선택과 집중 관점에서 예산을 심의할 수밖에 없다”면서 “전문성을 강화해 우선순위가 높은 사업에 적정 예산을 배분하고 개연성, 시의성이 떨어지는 사업은 배제하기 위한 조치”라고 설명했다.이 관계자는 “소재부품 R&D 사업을 면밀히 들여다 본 뒤 개선방안을 도출해 향후 다른 분야 사업에도 이 같은 과정을 도입할지 등을 논의할 계획”이라면서 “R&D 배분·조정, 심의 과정 전반을 지속 개선하겠다”고 말했다.국가 R&D 예산안은 지난달 말 과기자문회의에서 의결돼 기재부로 보내졌다. 기재부가 재정 상황, 신규 R&D 수요 등을 감안해 예산안을 조정해 8월 국회에 정부 예산안을 제출한다. 신규 반영한 R&D 사업은 과기자문회의 심의를 추가로 받는다.최호 정책기자 snoop@etnews.com▶ 네이버 모바일에서 [전자신문] 채널 구독하기▶ 전자신문 바로가기 [Copyright ⓒ 전자신문 & 전자신문인터넷, 무단전재 및 재배포 금지]"
"과학","STEPI, 개도국에 과학기술혁신정책 노하우 전수","파이낸셜뉴스네이버","2019.07.30. 오후 2:48","2019.07.30. 오후 2:48","// flash 오류를 우회하기 위한 함수 추가function _flash_removeCallback() {}21일간6개국참여,'과학기술단지정책및기술이전사업화'과정연수                                   아시아, 아프리카 및 남미지역 개도국 정부의 과학기술혁신정책 역량강화를 위한 초청연수가 시작됐다.  과학기술정책연구원(STEPI)은 7월 29일 튀니지, 팔레스타인, 아제르바이잔, 엘살바도르, 라오스, 아프가니스탄 등 6개국의 과학기술정책 담당 실무급 공무원 등 관련 전문가 20명을 대상으로 한 '과학기술단지정책 및 기술이전사업화' 과정연수의 공식 일정을 시작했다.  STEPI와 한국국제협력단(KOICA)이 공동으로 진행하는 이번 행사는 오는 8월 14일까지 21일간, 참여한 개도국의 사회경제적 발전을 위한 ▲과학기술혁신정책 기획과 개발 ▲기술이전 및 사업화 ▲과학기술단지 운영 등 과학기술 분야 전문가 강의와 ▲산업·문화시찰 ▲실습 ▲멘토링 세션 등 다양한 프로그램을 제공한다.  특히, 한국의 과학기술정책 수립 및 기술이전 관련 실무 경험이 풍부한 전문가를 통해 이론과 함께 구체적인 사례교육이 진행될 예정이며, 국내 전문가들과의 워크숍을 통해 6개 참가국의 기술이전 현황 및 주요 이슈에 대한 심도있는 분석을 바탕으로 기술이전사업화 활성화를 위한 실행계획(Action Plan) 수립을 지원한다.  또 한국과학기술정보연구원(KISTI), 한국과학기술원(KAIST) 등 주요 국책연구소와 대학, 경북테크노파크와 충북테크노파크 등 지역기업 지원 전문기관과 입주기업을 방문하고 향후 개도국과의 협력 기회를 모색하는 자리도 가질 예정이다.  조황희 과학기술정책연구원장은 “이번 초청연수를 통해 참가국이 한국의 과학기술 발전과정과 경험을 흡수하고 과학기술혁신에 있어 정책수립 및 인재개발 역량 확보를 기대한다”며 “연수가 끝나도 선정된 실행계획을 수립과 함께 발전시켜 나갈 수 있도록 관련한 지원 등 국가 간 지속적인 협력 관계를 이어갈 예정”이라고 말했다.  이번 연수는 개도국 정부의 과학기술혁신정책 역량 강화 기여를 통해 향후 우리나라와 개도국의 과학기술 협력 기반 구축을 통한 국내 우수한 과학기술 전문가 및 기업의 해외 진출 지원하고자 2020년까지 진행되는 '과학기술단지정책 및 기술이전사업화'의 1차년도 과정으로 진행된다.   seokjang@fnnews.com 조석장 기자   ▶ 헉! 소리나는 스!토리 뉴스 [헉스]▶ 클릭해, 뉴스 들어간다 [뉴스쿨] ▶ 세상에 이런일이 [fn파스]  ※ 저작권자 ⓒ 파이낸셜뉴스. 무단 전재-재배포 금지"
"과학","독일·일본서 100% 수입 연료전지 소재 국산화 성공","조선비즈네이버","2019.07.30. 오후 2:47","2019.07.30. 오후 2:58","// flash 오류를 우회하기 위한 함수 추가function _flash_removeCallback() {}국내 연구진이 차세대 연료전지로 불리는 ‘음이온 교환막 연료전지’의 핵심소재를 국산화하는데 성공했다. 이번 연구 성과는 국내 기업에 기술 이전돼 연내 상용화될 예정이다.한국화학연구원은 이장용 화학소재연구본부 박사팀이 음이온 교환막 연료전지에 쓰이는 음이온 교환소재(바인더 및 분리막)의 제조 기술을 개발해 국내 기업인 주식회사 SDB에 이전했다고 30일 밝혔다.새롭게 개발된 음이온 교환형 바인더(왼쪽)와 분리막(오른쪽) 사진. /한국화학연구원 제공음이온 교환막 연료전지는 기존 양이온 교환막 연료전지에 비해 제조비용을 크게 낮출 수 있어 전 세계가 주목하고 있는 차세대 연료전지 후보다. 그러나 국내에서 관련 기술을 보유한 기업은 없어 독일 푸마테크와 일본 도쿠야마 등에서 100% 수입한다.화학연 연구팀이 개발한 음이온 교환소재는 ‘전극 바인더’와 ‘분리막’이다. 연료전지에서 바인더는 분말가루 형태의 전극을 단단히 결합시키고 전극층 내부에서 이온이 이동할 수 있는 통로를 형성한다.또 이온교환막이라고도 부르는 분리막은 양극에서 음극으로 음이온(수산화이온)을 선택적으로 이동시키는 통로 역할을 한다. 이 막은 고체 상태의 전해질로 음이온 교환막 연료전지의 핵심소재로 꼽힌다. 이들 소재로 음이온 교환막 연료전지를 만들면 기존 소재보다 성능과 내구성이 우수하다는 장점이 있다. 음이온 교환막 연료전지는 현재 산업계에서 사용 중인 양이온 교환막 연료전지보다 제조비용이 적게 드는 장점이 있었으나 성능과 내구성은 떨어졌다.이번 연구에 따라 음이온 교환소재의 성능과 내구성이 기존보다 좋아졌다. 바인더의 경우 이온전도도는 3배 이상 향상됐고, 화학적 안정성 역시 높아졌다. 그러나 내구성 부분은 아직까지 양이온 교환소재를 완전히 대체할 수 있는 수준은 아니다.이에 따라 이번 음이온 교환막 연료전지는 자동차나 건물용 연료전지를 대체하기보다 상대적으로 이용 빈도가 낮아 높은 내구성을 요구하지 않는 ‘UPS(Un-interrupted Power System&#8231;무정전 전원 공급장치)’에 적용할 수 있을 것으로 보인다.이장용 박사는 ""연료전지 시장에서 소재는 10%를 차지할만큼 중요하다""며 ""SDB와 함께 산업적 파급효과가 큰 음이온 교환소재를 상용화시키고, 가격을 낮추기 위한 원천기술 연구 개발에 힘을 쏟겠다""고 말했다.에너지 조사기관 ‘네비건트 리서치’에 따르면 글로벌 이온 교환막 연료전지 시장규모는 2024년 15조원에 달할 것으로 예상된다. 이온교환소재(바인더 및 분리막) 시장은 전체의 10%인 약 1조5000억원에 이를 것으로 전망된다. [김태환 기자 topen@chosunbiz.com]chosunbiz.com"
"과학","국립해양생물자원관, '박사님과 함께하는 해양생물 톡톡톡' 토크콘서트","파이낸셜뉴스네이버","2019.07.30. 오후 2:42","2019.07.30. 오후 2:42","// flash 오류를 우회하기 위한 함수 추가function _flash_removeCallback() {}바닷물한모금,모래한줌속에서사는플랑크톤의세계                          '제8회 박사님과 함께하는 해양생물 톡톡톡' 포스터         국립해양생물자원관은 씨큐리움 1층 해양생명홀에서 관람객을 대상으로 '제8회 박사님과 함께하는 해양생물 톡톡톡' 토크콘서트를 8월 3일 오후 1시와 3시 2회 진행한다고 밝혔다.  ‘바닷물 한 모금, 모래 한줌 속에 사는 플랑크톤’이라는 주제로 열리는 이번 프로그램은 국립해양생물자원관 분류연구실 김선영 박사의 플랑크톤에 대한 특별한 이야기와 연구성과 등을 토크콘서트 형식으로 진행된다.  특히 바닷물과 모래 속에 있는 살아있는 플랑크톤을 가족이나 친구들과 함께 광학현미경을 통해 직접 관찰할 수 있는 특별체험의 기회가 될 것이다.  참가는 국립해양생물자원관 누리집을 통해 7월 31일까지 20개팀에 한해(1회 10개팀) 진행되며 각 팀당 최소 2인 이상, 최대 4인까지 선착순 예약할 수 있으며, 초등학교 저학년 또는 유아의 경우 보호자와 함께 신청하면 된다.  전시교육실 안용락실장은 “해양생물에 대한 관심과 흥미를 느낄 수 있는 새로운 프로그램을 지속적으로 개발하여 관람객에게 제공해 나가겠다”고 말했다.   seokjang@fnnews.com 조석장 기자   ▶ 헉! 소리나는 스!토리 뉴스 [헉스]▶ 클릭해, 뉴스 들어간다 [뉴스쿨] ▶ 세상에 이런일이 [fn파스]  ※ 저작권자 ⓒ 파이낸셜뉴스. 무단 전재-재배포 금지"
